Key,english
sorc_DFarmorTechBoots,Arcane Power Boots
sorc_DFarmorTechLegs,Arcane Power Legs
sorc_DFarmorTechVest,Arcane Power Chestplate
sorc_DFarmorTechHelmet,Arcane Power Helmet
sorc_DFarmorTechGloves,Arcane Power Gloves
sorc_DFarmorTechGroupDesc,Arcane Power Armor is the best you can possibly craft. It grants amazing protection physical damage and immunity to most radiation and is infused with Arcane Sorcery. Repaired with Energy Cells.
cntChestScroll_ArcaneSecureBroadcast,"Arcane Chest (Remote Crafting Enabled)"
cntChestScroll_ArcaneInsecureBroadcast,"Insecure Arcane Chest (Remote Crafting Enabled)"
cntChestScroll_FireSecureBroadcast,"Fire Chest (Remote Crafting Enabled)"
cntChestScroll_FireInsecureBroadcast,"Insecure Fire Chest (Remote Crafting Enabled)"
cntChestScroll_IceSecureBroadcast,"Ice Chest (Remote Crafting Enabled)"
cntChestScroll_IceInsecureBroadcast,"Insecure Ice Chest (Remote Crafting Enabled)"
cntChestScroll_LightningSecureBroadcast,"Lightning Chest (Remote Crafting Enabled)"
cntChestScroll_LightningInsecureBroadcast,"Insecure Lightning Chest (Remote Crafting Enabled)"
cntChestScroll_UnholySecureBroadcast,"Unholy Chest (Remote Crafting Enabled)"
cntChestScroll_UnholyInsecureBroadcast,"Insecure Unholy Chest (Remote Crafting Enabled)"
cntChestScroll_HolySecureBroadcast,"Holy Chest (Remote Crafting Enabled)"
cntChestScroll_HolyInsecureBroadcast,"Insecure Holy Chest (Remote Crafting Enabled)"

perkSorceryHarvestWandRank1Desc,"[2f9970]INITIATE[-] Arcane Harvester"
perkSorceryHarvestWandRank1LongDesc,"You are now an [2f9970]Initiate[-] Arcane Harvester:\n• Learn to craft [2f9970]Initiate[-] [e3bb70][U]Harvest Wand[/U][-] at a Sorcerer Desk\n• Harvest Wand gains [ae92d5]+20% Effectiveness[-] to Harvesting\n• Fatigue duration is reduced to [ae92d5]25 Seconds[-]"
perkSorceryHarvestWandRank2Desc,"[36dc2a]NOVICE[-] Arcane Harvester"
perkSorceryHarvestWandRank2LongDesc,"You are now a [36dc2a]Novice[-] Arcane Harvester:\n• Craft [36dc2a]Novice[-] Harvest Wand at a Sorcerer Desk\n• Harvest Wand gains [ae92d5]+40% Effectiveness[-] to Harvesting\n• Fatigue duration is reduced to [ae92d5]20 Seconds[-]"
perkSorceryHarvestWandRank3Desc,"[407fff]ADEPT[-] Arcane Harvester"
perkSorceryHarvestWandRank3LongDesc,"You are now an [407fff]Adept[-] Arcane Harvester:\n• Craft [407fff]Adept[-] Harvest Wand at a Sorcerer Desk\n• Harvest Wand gains [ae92d5]+60% Effectiveness[-] to Harvesting\n• Fatigue duration is reduced to [ae92d5]15 Seconds[-]"
perkSorceryHarvestWandRank4Desc,"[ba3fd0]EXPERT[-] Arcane Harvester"
perkSorceryHarvestWandRank4LongDesc,"You are now an [ba3fd0]Expert[-] Arcane Harvester:\n• Craft [ba3fd0]Expert[-] Harvest Wand at a Sorcerer Desk\n• Harvest Wand gains [ae92d5]+80% Effectiveness[-] to Harvesting\n• Fatigue duration is reduced to [ae92d5]10 Seconds[-]"
perkSorceryHarvestWandRank5Desc,"[e60000]MASTER[-] Arcane Harvester"
perkSorceryHarvestWandRank5LongDesc,"You are now a [e60000]Master[-] Arcane Harvester:\n• Craft [e60000]Master[-] Harvest Wand at a Sorcerer Desk\n• Harvest Wand gains [ae92d5]Double Effectiveness[-] to Harvesting\n• Fatigue duration is reduced to [ae92d5]5 Seconds[-]"
